model,method,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,matched_F1@0.5,matched_F1@0.95,matched_Precision@0.5,matched_Precision@0.95,matched_Recall@0.5,matched_Recall@0.95,matched_mAP@0.5,matched_mAP@0.5:0.95,matched_mAP@0.75,matched_mAP@0.95,average_forgetting
medium,finetuning,medium:finetuning,44,experiments/suites/thesis_l40_main/model_medium/seed_44/finetuning,0.13187688055573768,0.009461992395306956,0.15539448004579207,0.029385212156628135,0.6094194459266967,0.07347022958655773,0.3517464178525756,0.2383604611432799,0.27208097668043735,0.009627007877859457,,,,,,,,,,,
medium,replay,medium:replay,42,experiments/suites/thesis_l40_main/model_medium/seed_42/replay,0.12046783656634631,0.007858210670613673,0.06857165602315546,0.004397917533982379,0.9628457127330572,0.09530272526269286,0.7565021304584932,0.5451642387135948,0.65054938099055,0.021538776812014975,,,,,,,,,,,
medium,replay,medium:replay,43,experiments/suites/thesis_l40_main/model_medium/seed_43/replay,0.1724872694900781,0.012974743872294352,0.10220885373662901,0.007607719509927505,0.9397929353266137,0.09504095247153199,0.7080901533304963,0.5212224340029744,0.6162261997851638,0.015754795999934904,,,,,,,,,,,
medium,replay,medium:replay,44,experiments/suites/thesis_l40_main/model_medium/seed_44/replay,0.08211609010180214,0.007817152080209501,0.044594124146721516,0.004177418765648258,0.9551166981088445,0.16027403196931123,0.690689297218078,0.49980329148848623,0.5625585200698953,0.050309168754474214,,,,,,,,,,,
nano,det_lora,nano:det_lora,42,experiments/suites/thesis_l40_main/model_nano/seed_42/det_lora,0.02897767560951867,0.004316827531902057,0.014723880196313774,0.00219314842491152,0.9718821782653896,0.14519962784408583,0.6443396811480419,0.43709750370006467,0.4997637943618219,0.012734540447792283,0.027419290252336904,0.004349865133833593,0.013905596577679534,0.0022059163884658134,0.9856805081157883,0.15721802402337073,0.8120401586536556,0.5576567381037656,0.6435167740755258,0.01759781246833649,0.0
nano,det_lora,nano:det_lora,43,experiments/suites/thesis_l40_main/model_nano/seed_43/det_lora,0.02945668844337734,0.004424546320063021,0.014967575656319265,0.0022482061415627502,0.9800795348907755,0.14766134968941177,0.6226808125383142,0.4316329933865295,0.4919996653095145,0.01839125357215066,0.027606899926501727,0.0045557448410155806,0.014000746478101435,0.0023100481077286865,0.992417494575768,0.16628249410767498,0.8166256066298407,0.5649358431111794,0.6565095933877038,0.02365291169372148,0.0
nano,det_lora,nano:det_lora,44,experiments/suites/thesis_l40_main/model_nano/seed_44/det_lora,0.03226902895195657,0.005249867435018904,0.01647367184839536,0.002681820857631473,0.9766790856229984,0.15899344734870818,0.626968575485119,0.42875784759142954,0.49817216655047547,0.011058558652995211,0.027549429351131513,0.004781106607056748,0.013971526462642886,0.0024242844656657807,0.9906416187864816,0.17476597435402694,0.8257799430811623,0.5639460850076846,0.6555333043279504,0.017911685191733747,0.0
nano,ewc,nano:ewc,42,experiments/suites/thesis_l40_main/model_nano/seed_42/ewc,0.17079041874896453,0.0071037874569659125,0.108483120075873,0.004417669760591304,0.8356620987882936,0.08607402684584466,0.43557889656960835,0.30673550322217774,0.3536688817659784,0.014795843631565456,,,,,,,,,,,
nano,ewc,nano:ewc,43,experiments/suites/thesis_l40_main/model_nano/seed_43/ewc,0.24903249976823058,0.012482205257599223,0.2279680232462041,0.011486576534999043,0.6296800409318145,0.063390791661884,0.34598467675680555,0.22985716024075017,0.25785471464509063,0.007024886724526315,,,,,,,,,,,
nano,ewc,nano:ewc,44,experiments/suites/thesis_l40_main/model_nano/seed_44/ewc,0.16586296542433202,0.011508642636994165,0.11416210121977104,0.007964059982719937,0.8026001463650375,0.08577998452061684,0.42877218797771127,0.2922184465907188,0.33746365865542133,0.006974771887559949,,,,,,,,,,,
nano,finetuning,nano:finetuning,42,experiments/suites/thesis_l40_main/model_nano/seed_42/finetuning,0.08231945989398437,0.0010891801893452967,0.06726615298082457,0.000646884758285912,0.47676144798446957,0.09204212432891624,0.25732662795811345,0.17686555605690027,0.1971059224770354,0.02642944483789653,,,,,,,,,,,
nano,finetuning,nano:finetuning,43,experiments/suites/thesis_l40_main/model_nano/seed_43/finetuning,0.061609542036708355,0.0028358989511372418,0.05506975355490042,0.0023532754224129524,0.3940653302600638,0.06403197083856439,0.21538861350870286,0.15919606464570332,0.18952889712993723,0.005451684304266379,,,,,,,,,,,
nano,finetuning,nano:finetuning,44,experiments/suites/thesis_l40_main/model_nano/seed_44/finetuning,0.08308772920661307,0.0033550146213766232,0.10254926111811441,0.001965923025318156,0.47718740402961957,0.04665572993434975,0.31370213578151757,0.21928148980959294,0.2541843891049355,0.004649607185529011,,,,,,,,,,,
nano,replay,nano:replay,42,experiments/suites/thesis_l40_main/model_nano/seed_42/replay,0.0954886993769145,0.009569830511527442,0.051923893310449616,0.005204103251567837,0.9318738956278295,0.11277929727746216,0.7136275526677278,0.5139954874446183,0.5977146891580569,0.02179589933245786,,,,,,,,,,,
nano,replay,nano:replay,43,experiments/suites/thesis_l40_main/model_nano/seed_43/replay,0.04474356168289806,0.003695978347655629,0.023070770427861296,0.0018983659502425571,0.9718182831210737,0.09514344744333252,0.6601866182948016,0.4521081229625146,0.5324057055180664,0.007987931574447911,,,,,,,,,,,
