model,method,matched_F1@0.5_mean,matched_F1@0.5_std,matched_F1@0.5_min,matched_F1@0.5_max,matched_F1@0.95_mean,matched_F1@0.95_std,matched_F1@0.95_min,matched_F1@0.95_max,matched_Precision@0.5_mean,matched_Precision@0.5_std,matched_Precision@0.5_min,matched_Precision@0.5_max,matched_Precision@0.95_mean,matched_Precision@0.95_std,matched_Precision@0.95_min,matched_Precision@0.95_max,matched_Recall@0.5_mean,matched_Recall@0.5_std,matched_Recall@0.5_min,matched_Recall@0.5_max,matched_Recall@0.95_mean,matched_Recall@0.95_std,matched_Recall@0.95_min,matched_Recall@0.95_max,matched_mAP@0.5_mean,matched_mAP@0.5_std,matched_mAP@0.5_min,matched_mAP@0.5_max,matched_mAP@0.5:0.95_mean,matched_mAP@0.5:0.95_std,matched_mAP@0.5:0.95_min,matched_mAP@0.5:0.95_max,matched_mAP@0.75_mean,matched_mAP@0.75_std,matched_mAP@0.75_min,matched_mAP@0.75_max,matched_mAP@0.95_mean,matched_mAP@0.95_std,matched_mAP@0.95_min,matched_mAP@0.95_max,group_name,num_seeds,seeds,mixed_F1@0.5_mean,mixed_F1@0.5_std,mixed_F1@0.5_min,mixed_F1@0.5_max,mixed_F1@0.95_mean,mixed_F1@0.95_std,mixed_F1@0.95_min,mixed_F1@0.95_max,mixed_Precision@0.5_mean,mixed_Precision@0.5_std,mixed_Precision@0.5_min,mixed_Precision@0.5_max,mixed_Precision@0.95_mean,mixed_Precision@0.95_std,mixed_Precision@0.95_min,mixed_Precision@0.95_max,mixed_Recall@0.5_mean,mixed_Recall@0.5_std,mixed_Recall@0.5_min,mixed_Recall@0.5_max,mixed_Recall@0.95_mean,mixed_Recall@0.95_std,mixed_Recall@0.95_min,mixed_Recall@0.95_max,mixed_mAP@0.5_mean,mixed_mAP@0.5_std,mixed_mAP@0.5_min,mixed_mAP@0.5_max,mixed_mAP@0.5:0.95_mean,mixed_mAP@0.5:0.95_std,mixed_mAP@0.5:0.95_min,mixed_mAP@0.5:0.95_max,mixed_mAP@0.75_mean,mixed_mAP@0.75_std,mixed_mAP@0.75_min,mixed_mAP@0.75_max,mixed_mAP@0.95_mean,mixed_mAP@0.95_std,mixed_mAP@0.95_min,mixed_mAP@0.95_max,forgetting_max,forgetting_mean,forgetting_min,forgetting_std
medium,finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium:finetuning,3,"42,43,44",0.10569882598004551,0.0240025480790405,0.0738957514173837,0.13187688055573768,0.008692640057628938,0.002157637395663561,0.00575078352125017,0.010865144256329689,0.1783894998380242,0.0637601859734373,0.11437897193936569,0.26539504752891485,0.024108172999142433,0.013296647149999178,0.005839046220257171,0.037100260620541996,0.5387621678187497,0.05019637676176038,0.49750258045990386,0.6094194459266967,0.0597281018346295,0.009773037269220653,0.05157882442578957,0.07347022958655773,0.3485864638041432,0.012711127299447948,0.3316810127695415,0.3623319607903126,0.23891593928669533,0.006671628246614584,0.23103680897023215,0.24735054774657392,0.2743291374432192,0.008172670277282596,0.2656349624255953,0.28527147322362495,0.008073226096800714,0.0011346689604324444,0.006949157863562018,0.009627007877859457,,,,
medium,replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium:replay,3,"42,43,44",0.12502373205274217,0.037034260298352654,0.08211609010180214,0.1724872694900781,0.009550035541039175,0.002421692495974383,0.007817152080209501,0.012974743872294352,0.071791544635502,0.02363105341757578,0.044594124146721516,0.10220885373662901,0.005394351936519381,0.0015676738474504498,0.004177418765648258,0.007607719509927505,0.9525851153895051,0.009579990251783537,0.9397929353266137,0.9628457127330572,0.1168725699011787,0.03068965421209791,0.09504095247153199,0.16027403196931123,0.7184271936690225,0.02784448547442161,0.690689297218078,0.7565021304584932,0.5220633214016851,0.018528072430823328,0.49980329148848623,0.5451642387135948,0.609778033615203,0.03621033035480412,0.5625585200698953,0.65054938099055,0.029200913855474697,0.015111417916473632,0.015754795999934904,0.050309168754474214,,,,
nano,det_lora,0.027525206509990047,7.84831488698105e-05,0.027419290252336904,0.027606899926501727,0.0045622388606353075,0.00017611346962500302,0.004349865133833593,0.004781106607056748,0.013959289839474618,3.979679298214924e-05,0.013905596577679534,0.014000746478101435,0.0023134163206200934,8.918020306683956e-05,0.0022059163884658134,0.0024242844656657807,0.9895798738260126,0.002850990870007392,0.9856805081157883,0.992417494575768,0.16608883082835754,0.007165229435782745,0.15721802402337073,0.17476597435402694,0.8181485694548862,0.0057116828141066354,0.8120401586536556,0.8257799430811623,0.5621795554075432,0.0032235397260745326,0.5576567381037656,0.5649358431111794,0.6518532239303934,0.005908219259026046,0.6435167740755258,0.6565095933877038,0.019720803117930574,0.0027833717455009507,0.01759781246833649,0.02365291169372148,nano:det_lora,3,"42,43,44",0.030234464334950858,0.0014518845705562631,0.02897767560951867,0.03226902895195657,0.004663747095661327,0.0004167762177213708,0.004316827531902057,0.005249867435018904,0.0153883759003428,0.0007738420771067358,0.014723880196313774,0.01647367184839536,0.0023743918080352477,0.00021854412741662425,0.00219314842491152,0.002681820857631473,0.9762135995930545,0.003362704451677176,0.9718821782653896,0.9800795348907755,0.15061814162740192,0.006006903143048433,0.14519962784408583,0.15899344734870818,0.631329689723825,0.009364512281859456,0.6226808125383142,0.6443396811480419,0.4324961148926746,0.0034589208387734087,0.42875784759142954,0.43709750370006467,0.49664520874060397,0.003348544469872109,0.4919996653095145,0.4997637943618219,0.014061450890979385,0.0031371560568484395,0.011058558652995211,0.01839125357215066,0.0,0.0,0.0,0.0
nano,ewc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nano:ewc,3,"42,43,44",0.19522862798050905,0.03809822754913752,0.16586296542433202,0.24903249976823058,0.010364878450519767,0.0023399418646964138,0.0071037874569659125,0.012482205257599223,0.15020441484728272,0.05503602941179402,0.108483120075873,0.2279680232462041,0.007956102092770095,0.002885874592138548,0.004417669760591304,0.011486576534999043,0.7559807620283818,0.09032230173714603,0.6296800409318145,0.8356620987882936,0.07841493434278184,0.010624351358843463,0.063390791661884,0.08607402684584466,0.40344525376804174,0.04072567784016945,0.34598467675680555,0.43557889656960835,0.27627037001788224,0.03334992018653415,0.22985716024075017,0.30673550322217774,0.31632908502216345,0.041873550181962926,0.25785471464509063,0.3536688817659784,0.009598500747883907,0.003675133345620489,0.006974771887559949,0.014795843631565456,,,,
nano,finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nano:finetuning,3,"42,43,44",0.07567224371243526,0.009948776918112467,0.061609542036708355,0.08308772920661307,0.0024266979206197204,0.0009692215195289919,0.0010891801893452967,0.0033550146213766232,0.07496172255127981,0.02013276356045225,0.05506975355490042,0.10254926111811441,0.0016553610686723401,0.0007304239962020867,0.000646884758285912,0.0023532754224129524,0.449338060758051,0.039084109406641136,0.3940653302600638,0.47718740402961957,0.0675766083672768,0.01869767437307381,0.04665572993434975,0.09204212432891624,0.26213912574944465,0.040280328256403965,0.21538861350870286,0.31370213578151757,0.18511437017073218,0.025213710291489687,0.15919606464570332,0.21928148980959294,0.21360640290396937,0.028859227887245938,0.18952889712993723,0.2541843891049355,0.01217691210923064,0.010083380676881797,0.004649607185529011,0.02642944483789653,,,,
nano,replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nano:replay,3,"42,43,44",0.08334050684744636,0.027909611687970116,0.04474356168289806,0.10978925948252653,0.006513683825091552,0.002403910074353506,0.003695978347655629,0.009569830511527442,0.04583242667203669,0.016664274984498805,0.023070770427861296,0.06250261627779917,0.003543477287268302,0.0013496061904837077,0.0018983659502425571,0.005204103251567837,0.9407190165481758,0.02266162353843085,0.9184648708956242,0.9718182831210737,0.1000911957695372,0.00904398880938118,0.09235084258781694,0.11277929727746216,0.6773096350069802,0.025694571845455136,0.6581147340584111,0.7136275526677278,0.4749083291633264,0.027766407482052592,0.4521081229625146,0.5139954874446183,0.5551886039712559,0.030096078402574084,0.5324057055180664,0.5977146891580569,0.014557790958735292,0.00565684900131227,0.007987931574447911,0.02179589933245786,,,,
small,det_lora,0.0274670786652689,2.7887686864831002e-05,0.027446098402854235,0.027506490346568945,0.004024813693573643,0.0002792268762496013,0.0036763005113452547,0.004359866410231791,0.013929700042989875,1.4108105715501961e-05,0.01391905559572571,0.013949636635481063,0.0020407042774596724,0.0001416444181955255,0.0018639688824144181,0.0022107307890354795,0.9881217070793622,0.0011877241485798943,0.9871706836181543,0.9897962595773523,0.14773359021535237,0.009932206941624751,0.1349987889950903,0.15923341038230035,0.8261745489656334,0.007439958061729341,0.8201291549829367,0.8366550856331827,0.5711843523190022,0.0067108849156649756,0.5642054120988917,0.5802438098240201,0.6503943783049735,0.00893843325874338,0.6430767427913434,0.6629797038643258,0.02439288505622606,0.0016135473175633377,0.02324776842645515,0.026674780478644827,small:det_lora,3,"42,43,44",0.030083674317047428,0.0018118688308509572,0.028558480927476804,0.03262942603415171,0.004037813052941824,0.00021963251546524475,0.003821282837352178,0.004338934744956405,0.015312033517123382,0.0009565962292214676,0.014501064785097093,0.016655260814540357,0.0020529945020394116,0.00011036487901004668,0.0019399856550662055,0.002202731753208614,0.976583958887705,0.000977652088305792,0.9757371930479729,0.9779538861108924,0.13972766415881221,0.008966430220899406,0.1277755115870717,0.14937182482699496,0.643357039826226,0.005512783866735808,0.6390053020343557,0.6511349585778051,0.4431641959013648,0.004223616255347333,0.4380357546210311,0.44838034394141996,0.505153578561131,0.006429694800351414,0.5004236810157239,0.5142440395630973,0.01861077482827876,0.0030067020879318983,0.014394104766686538,0.021193616299615924,0.0,0.0,0.0,0.0
small,ewc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small:ewc,3,"42,43,44",0.16395380086701536,0.04068967812785233,0.10758090279939943,0.20214260621401145,0.014529675605189491,0.002014180752766183,0.011719369950371858,0.01633734893157401,0.12327964887379603,0.04648982380653909,0.07164240350871731,0.1843424447580799,0.011292586740814266,0.003110299843143627,0.00812299140776417,0.01551863349440384,0.7912207855435618,0.06912870617581571,0.6934772173955639,0.841769826481212,0.09406153618922504,0.01116194936538012,0.07884503222472788,0.10530670661664067,0.4325608333740155,0.02103621949187535,0.41222864938848575,0.46153478320730706,0.29597621755693515,0.017185807747364917,0.28091779567152697,0.3200269577761583,0.3387634303501533,0.024173280482400028,0.316118473323987,0.37226530639525895,0.012211799277880556,0.0005428875454509101,0.011661641775781694,0.012950651004287356,,,,
small,finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small:finetuning,3,"42,43,44",0.0907727338844063,0.02297651811434797,0.06416647355433722,0.12023014399083361,0.00568912150920269,0.001992711665240531,0.003630415989401482,0.008385102109454451,0.1176928402168366,0.0605692748794251,0.039312774067526444,0.1868057660652754,0.006719959657040969,0.0057415670773385665,0.0022754040033482327,0.014827204139382348,0.4987740109585787,0.019419745884059782,0.4791972247444763,0.5252432876287894,0.06533172040066274,0.014409057938115614,0.048455985671613376,0.08366092786711632,0.32980964904795756,0.020384917298051735,0.30528972516971536,0.3551996254435261,0.22821468522690633,0.0116462246826391,0.214122526786791,0.24264386182623396,0.25934774213725037,0.017978609509611405,0.23904465022719545,0.2827538700931382,0.01010877102358815,0.006111992133084559,0.005241521842605629,0.018728435204156412,,,,
small,replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small:replay,3,"42,43,44",0.1297173260820529,0.0031564415811161407,0.12635560551466307,0.13394157216082286,0.011279338654721667,0.002187489873152484,0.00879338277953774,0.014116896617804948,0.07373604897922491,0.0015200949149381086,0.07239254116481465,0.07586116894152248,0.00636709105205026,0.001278994994656559,0.00495694712075643,0.008053163967906288,0.941523142026117,0.0008640515040247785,0.9403030486383583,0.9421915547741033,0.11569091215656704,0.02213814345772305,0.08646994397799466,0.14003522168409868,0.7058828085924993,0.0246897616965173,0.6807137224584294,0.7394259853537436,0.5015080691078515,0.023382269741472034,0.47369869318049557,0.530907103307905,0.5842451982206357,0.031617374852930105,0.5442872054779287,0.6216025345836679,0.020998018022406154,0.004661316426854047,0.014545361021293177,0.025392344582198977,,,,
