model,method,target_class,stage_name,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,target_F1@0.5,target_F1@0.95,target_Precision@0.5,target_Precision@0.95,target_Recall@0.5,target_Recall@0.95,target_mAP@0.5,target_mAP@0.5:0.95,target_mAP@0.75,target_mAP@0.95,target_delta_F1@0.5,target_delta_F1@0.95,target_delta_Precision@0.5,target_delta_Precision@0.95,target_delta_Recall@0.5,target_delta_Recall@0.95,target_delta_mAP@0.5,target_delta_mAP@0.5:0.95,target_delta_mAP@0.75,target_delta_mAP@0.95,mixed_delta_F1@0.5,mixed_delta_F1@0.95,mixed_delta_Precision@0.5,mixed_delta_Precision@0.95,mixed_delta_Recall@0.5,mixed_delta_Recall@0.95,mixed_delta_mAP@0.5,mixed_delta_mAP@0.5:0.95,mixed_delta_mAP@0.75,mixed_delta_mAP@0.95,average_forgetting
base,replay,military_helicopter,stage_1,base:replay:military_helicopter:stage_1,44,experiments/suites/thesis_l40_main/extend/model_base/seed_44/replay/military_helicopter/stage_1,0.04730189773546112,0.004286697219468935,0.02484026218564193,0.002211824552718286,0.9641071405685974,0.13039083239916127,0.7244684224364715,0.5117135059342537,0.5739107061140262,0.04199399164421047,0.02463991303560105,0.0027176374671618805,0.012477064220183486,0.0013761467889908258,0.9784172661870504,0.1079136690647482,0.8769405193351008,0.559403331669066,0.5803272397804613,0.03881752388701262,,,,,,,0.006500753448920205,-0.0008891725916265747,0.00688040837507875,0.02550529991263052,,,,,,,0.031517613792261145,0.01580018133762312,0.020442047498232085,-0.004610025650650905,
base,replay,military_helicopter,stage_2,base:replay:military_helicopter:stage_2,42,experiments/suites/thesis_l40_main/extend/model_base/seed_42/replay/military_helicopter/stage_2,0.03966165608009957,0.004337700090183129,0.02044423951190123,0.002221302212715982,0.9793959863754137,0.13230807339433673,0.7215168118591689,0.5113520034556565,0.5883488221672039,0.03625860956685734,0.024821088866745177,0.002174109973729505,0.012568807339449541,0.0011009174311926607,0.9856115107913669,0.08633093525179857,0.8723045240348624,0.5892136451614213,0.6831134475755815,0.021664059239240495,,,,,,,0.004925066263836264,0.014681898809088212,0.04728064410957378,-0.014859945451362898,,,,,,,0.0016496924008519986,0.0014535959570812773,0.01716564045817426,0.004776178604181294,
base,replay,military_helicopter,stage_2,base:replay:military_helicopter:stage_2,43,experiments/suites/thesis_l40_main/extend/model_base/seed_43/replay/military_helicopter/stage_2,0.061333373879088625,0.006431239549790729,0.03253331926847281,0.003395906048569335,0.9757355729619137,0.11142886000535145,0.7204785412370724,0.522789413237014,0.608596994705236,0.03266133818303336,0.024277561373312797,0.003079989129450131,0.012293577981651376,0.0015596330275229357,0.9640287769784173,0.1223021582733813,0.8766698699818609,0.6081831959933568,0.6958306119315347,0.02131632371120378,,,,,,,0.0078605885107067,-0.010978850682739627,-0.011172330761229476,-0.0187361603079366,,,,,,,0.0064524357850569425,-0.004382851515331576,-0.003802786890932719,-0.010894620231384815,
base,replay,military_helicopter,stage_2,base:replay:military_helicopter:stage_2,44,experiments/suites/thesis_l40_main/extend/model_base/seed_44/replay/military_helicopter/stage_2,0.044038270153843616,0.0037998246619721236,0.023092980172786225,0.001955505218358832,0.9612899768238649,0.12626815878638753,0.7159378085985001,0.5024944826677835,0.5663262087141897,0.03752921556670166,0.02463991303560105,0.0027176374671618805,0.012477064220183486,0.0013761467889908258,0.9784172661870504,0.1079136690647482,0.8629700351690144,0.5365866198687664,0.532665556919657,0.038991847902739,,,,,,,-0.013970484166086372,-0.02281671180029954,-0.0476616828608043,0.00017432401572637507,,,,,,,-0.00853061383797138,-0.009219023266470172,-0.007584497399836465,-0.0044647760775088086,
base,replay,military_tank,stage_1,base:replay:military_tank:stage_1,42,experiments/suites/thesis_l40_main/extend/model_base/seed_42/replay/military_tank/stage_1,0.046505645243528626,0.008307651120109644,0.024146330271848152,0.004307181426764868,0.977679484070732,0.18360642392185356,0.7294517084093286,0.5321293389213283,0.6008817674483836,0.07578660844734991,0.029469199360908926,0.0023078288656133497,0.014954954954954955,0.0011711711711711711,1.0,0.0783132530120482,0.8327340487294067,0.5336577913395831,0.6079131753890397,0.01818011156470602,,,,,,,0.009972830008382783,0.006674026416044199,-0.007450756743205944,0.006653618586660972,,,,,,,-0.002428697591374096,-0.00020222431513239325,0.014752648613640007,-0.019302086420157974,
base,replay,military_tank,stage_1,base:replay:military_tank:stage_1,43,experiments/suites/thesis_l40_main/extend/model_base/seed_43/replay/military_tank/stage_1,0.08061746639760027,0.00926829755891498,0.04341373553570032,0.0049546315381859985,0.9764312691324225,0.13953504440929798,0.7351692377465429,0.5372230187225839,0.6269974504021772,0.03784129746522636,0.029469199360908926,0.0023078288656133497,0.014954954954954955,0.0011711711711711711,1.0,0.0783132530120482,0.8586760052881406,0.6002474408131568,0.7090992857034922,0.02479492142890402,,,,,,,0.06360383141907233,0.02483774605770206,0.037835737057056784,0.00812339019696661,,,,,,,0.015350727324910163,0.014776382736183091,0.016252793392167453,0.015906966630751165,
base,replay,military_tank,stage_1,base:replay:military_tank:stage_1,44,experiments/suites/thesis_l40_main/extend/model_base/seed_44/replay/military_tank/stage_1,0.03290519070559473,0.004114936010895575,0.016799885417451556,0.0020952151358233973,0.9658068528033632,0.1415287898984835,0.7088261268920011,0.5024082040866376,0.5673971308095417,0.045075330218794306,0.029114148766199183,0.0014202023788389847,0.014774774774774775,0.0007207207207207207,0.9879518072289156,0.04819277108433735,0.8034254936484698,0.5033259549268722,0.5476138076073097,0.024145971628037867,,,,,,,0.030774837823683177,0.005677553258909562,-0.03540962629491329,-0.0007164446501617475,,,,,,,0.01587531824779076,0.006494879490006988,0.013928472193747599,-0.00152868707606707,
base,replay,military_tank,stage_2,base:replay:military_tank:stage_2,42,experiments/suites/thesis_l40_main/extend/model_base/seed_42/replay/military_tank/stage_2,0.0727909717984953,0.012417432050552278,0.03856196581467521,0.006563056361972976,0.9698720365965139,0.16023671914884632,0.7282637020287215,0.5210861108100681,0.5875844272643133,0.05838795810424049,0.029291674063554058,0.0019527782709036037,0.014864864864864866,0.000990990990990991,0.9939759036144579,0.06626506024096386,0.8251212485630821,0.517027876685566,0.5707534141471702,0.01616394197559291,,,,,,,-0.007612800166324596,-0.016629914654017086,-0.03715976124186948,-0.0020161695891131107,,,,,,,-0.0011880063806071206,-0.01104322811126024,-0.013297340184070361,-0.017398650343109424,
base,replay,military_tank,stage_2,base:replay:military_tank:stage_2,43,experiments/suites/thesis_l40_main/extend/model_base/seed_43/replay/military_tank/stage_2,0.06182705038291431,0.007056750145959116,0.03264069792356968,0.0037071087993609236,0.9777944849677,0.12389901617530506,0.7237577825078904,0.5304110058323442,0.6190930544898862,0.039860531086628785,0.029469199360908926,0.002662879460323096,0.014954954954954955,0.0013513513513513514,1.0,0.09036144578313253,0.8519826391588137,0.6088206395524632,0.726552261770792,0.03640769425128448,,,,,,,-0.0066933661293269164,0.008573198739306398,0.017452976067299786,0.011612772822380456,,,,,,,-0.011411455238652501,-0.006812012890239694,-0.007904395912291085,0.002019233621402425,
base,replay,military_tank,stage_2,base:replay:military_tank:stage_2,44,experiments/suites/thesis_l40_main/extend/model_base/seed_44/replay/military_tank/stage_2,0.03502387580024766,0.004119695138372413,0.01791940117663245,0.0021022626338667184,0.9718309491889053,0.13047162962329031,0.7165377369045006,0.5033318523016215,0.5706125224169668,0.04228396734712047,0.029469199360908926,0.0015977276761938576,0.014954954954954955,0.0008108108108108108,1.0,0.05421686746987952,0.8312932483418096,0.5230568588024419,0.6069644138407201,0.020000587617886038,,,,,,,0.027867754693339797,0.01973090387556975,0.059350606233410375,-0.004145384010151829,,,,,,,0.007711610012499537,0.0009236482149839187,0.003215391607425122,-0.002791362871673836,
large,det_lora_grow_freeze,military_aircraft,stage_1,large:det_lora_grow_freeze:military_aircraft:stage_1,42,experiments/suites/thesis_l40_main/extend/model_large/seed_42/det_lora_grow_freeze/military_aircraft/stage_1,0.09213567710800165,0.008481515038604504,0.05211336670140662,0.004706056290596033,0.9338952730364829,0.10876534256079566,0.6295539466702352,0.429043624053765,0.4762605334215521,0.018376947398407034,0.028036086051353225,0.0027758501040943792,0.014225352112676056,0.0014084507042253522,0.9619047619047619,0.09523809523809523,0.7813127061422639,0.4860556437368431,0.5327102170992578,0.02373422274428314,0.0,0.0008327550312283141,0.0,0.00042253521126760576,0.0,0.028571428571428567,-0.0027533169542853786,-0.02445216460158156,-0.0569100681294602,0.007599967809355686,0.05057510077469574,0.004612282653823192,0.030643786981549598,0.0027149345690254535,-0.042700594497876665,-0.0010382743718966303,-0.026514408233683007,-0.02284652668096565,-0.03001673440768332,-0.004550831594462231,
large,det_lora_grow_freeze,military_aircraft,stage_1,large:det_lora_grow_freeze:military_aircraft:stage_1,43,experiments/suites/thesis_l40_main/extend/model_large/seed_43/det_lora_grow_freeze/military_aircraft/stage_1,0.08911810268791644,0.006102199671104869,0.056502481605795074,0.003805623369381604,0.9281924063038693,0.08075549574814427,0.6165017335274835,0.4202897949668385,0.47539074633899353,0.014521908712351294,0.02831367106176266,0.0022206800832755033,0.01436619718309859,0.0011267605633802818,0.9714285714285714,0.0761904761904762,0.7851730518837478,0.4917230418853541,0.578129704384877,0.022979624899735703,0.0,0.0,0.0,0.0,0.0,0.0,-0.02530723393563028,-0.03637503354859872,-0.037925305266502285,-0.0018869326004735953,0.05118948192065736,0.003240438037280314,0.036978447947662085,0.0023371320266605423,-0.04817596680606406,-0.005390815528380458,-0.02263857535274494,-0.022888482008592004,-0.02589067359628966,-0.0006453106182041125,
large,det_lora_grow_freeze,military_aircraft,stage_1,large:det_lora_grow_freeze:military_aircraft:stage_1,44,experiments/suites/thesis_l40_main/extend/model_large/seed_44/det_lora_grow_freeze/military_aircraft/stage_1,0.09138324762536315,0.008346122235255158,0.05126735473171836,0.004637528001785417,0.9408518986083195,0.09618611196501041,0.6606799265981155,0.44713603224367526,0.4960861160577135,0.01669785223934713,0.028036086051353225,0.0022206800832755033,0.014225352112676056,0.0011267605633802818,0.9619047619047619,0.0761904761904762,0.7486396461239725,0.46478600668406483,0.5387616909581866,0.01006826506940457,0.0,0.0005551700208188759,0.0,0.00028169014084507044,0.0,0.019047619047619056,-0.041459754648313196,-0.04408985709607899,-0.049148935478351086,0.0036012053199513646,0.056607620894646736,0.0054756452083346025,0.03346201995631003,0.003170692773536719,-0.03805867261704998,0.002755520964642988,0.013901173987864057,-0.0012538902464722668,-0.009034590040873758,-0.005053258578423422,
large,det_lora_grow_freeze,military_aircraft,stage_2,large:det_lora_grow_freeze:military_aircraft:stage_2,42,experiments/suites/thesis_l40_main/extend/model_large/seed_42/det_lora_grow_freeze/military_aircraft/stage_2,0.09144374196668048,0.007582626131508136,0.05389611668081176,0.004359284047037914,0.9481710312144268,0.10876534256079566,0.6188547086891051,0.41870559117128686,0.46659130198647897,0.016602098338881946,0.028036086051353225,0.0027758501040943792,0.014225352112676056,0.0014084507042253522,0.9619047619047619,0.09523809523809523,0.7630427813288791,0.4588370679339455,0.5097443110753552,0.020809185419726494,0.0,0.0,0.0,0.0,0.0,0.0,-0.01826992481338474,-0.027218575802897604,-0.022965906023902583,-0.0029250373245566473,0.047269967803563406,0.0034417198637861765,0.030922933507413847,0.002215842568385686,-0.029008121842977186,-0.0010040160642570128,-0.03358103069060525,-0.02976686625253594,-0.031131533041828474,-0.005755044244714586,
large,det_lora_grow_freeze,military_aircraft,stage_2,large:det_lora_grow_freeze:military_aircraft:stage_2,43,experiments/suites/thesis_l40_main/extend/model_large/seed_43/det_lora_grow_freeze/military_aircraft/stage_2,0.09944113026682327,0.0070576702548725565,0.06411170351009603,0.004467163981994438,0.9173392159183763,0.08103046137744059,0.6233554249214258,0.4259871951947884,0.4816948886947349,0.014739149715350749,0.02831367106176266,0.002498265093684941,0.01436619718309859,0.0012676056338028169,0.9714285714285714,0.08571428571428572,0.7699581433316569,0.4745884364794198,0.5478568301619607,0.015164581262995616,0.0,0.00027758501040943753,0.0,0.0001408450704225351,0.0,0.009523809523809518,-0.015214908552090844,-0.01713460540593431,-0.030272874222916246,-0.007815043636740087,0.059388729402082695,0.003930519960965776,0.0434133771019129,0.002857279562208482,-0.060616458778858684,-0.006314890666470216,-0.011029434670202565,-0.01149090222071042,-0.01379248726922816,0.0002643869051803024,
large,det_lora_grow_freeze,military_aircraft,stage_2,large:det_lora_grow_freeze:military_aircraft:stage_2,44,experiments/suites/thesis_l40_main/extend/model_large/seed_44/det_lora_grow_freeze/military_aircraft/stage_2,0.07681566153605311,0.007463033574962864,0.04162298557736958,0.004023400773698176,0.9415954893177441,0.09498707119762433,0.6629626478289175,0.44664367754197315,0.4946229393549843,0.01744201537731707,0.027758501040943788,0.0022206800832755033,0.014084507042253521,0.0011267605633802818,0.9523809523809523,0.0761904761904762,0.725692625672786,0.43677097684056665,0.49113273826045534,0.009918583062704071,-0.00027758501040943753,0.0,-0.00014084507042253468,0.0,-0.009523809523809601,0.0,-0.02294702045118646,-0.028015029843498185,-0.047628952697731264,-0.00014968200670049947,0.039254669881551955,0.004080009573885494,0.02229911637291478,0.0022857928737838222,-0.035727780320323865,-0.0011990407673860837,0.020488629830622496,0.0026722726502359517,-0.001458919475606557,-0.003794788232069652,
large,det_lora_grow_freeze,military_helicopter,stage_1,large:det_lora_grow_freeze:military_helicopter:stage_1,42,experiments/suites/thesis_l40_main/extend/model_large/seed_42/det_lora_grow_freeze/military_helicopter/stage_1,0.09801483871441118,0.009177017670788825,0.053579537602982424,0.0050024535751125076,0.9325310129029276,0.10400343779889089,0.639425705740959,0.4249405969525697,0.4643997182811627,0.018506789746773257,0.024821088866745177,0.001449406649153003,0.012568807339449541,0.0007339449541284404,0.9856115107913669,0.05755395683453238,0.786567909184226,0.37734587862973,0.3397527675186193,0.003780601940791094,-2.2505294103494083e-05,-0.0007266745912133041,-1.1541604535767261e-05,-0.0003679834205272069,0.0,-0.02877697841726619,-0.04317608129989958,-0.12447949141412373,-0.20281258759244875,-0.008704358929877911,0.05645426238110527,0.0053077852860075134,0.0321099578831254,0.0030113318535419284,-0.04406485463143195,-0.005800179133801403,-0.01664264916295921,-0.026949553782160962,-0.04187754954807271,-0.004420989246096008,
large,det_lora_grow_freeze,military_helicopter,stage_1,large:det_lora_grow_freeze:military_helicopter:stage_1,43,experiments/suites/thesis_l40_main/extend/model_large/seed_43/det_lora_grow_freeze/military_helicopter/stage_1,0.08894544791635463,0.005970861434715182,0.055801171255301006,0.003696235178531081,0.9287465187681215,0.07464699672059465,0.6157066628681809,0.4126945896009338,0.454671985575185,0.012685333856857503,0.024821088866745177,0.000905879155720627,0.012568807339449541,0.00045871559633027525,0.9856115107913669,0.03597122302158273,0.7491970778007012,0.39868379270502863,0.3960785972372907,0.0010490762670458253,0.00036235166228825236,-0.0005435274934323759,0.00018348623853210906,-0.0002752293577981651,0.014388489208633115,-0.021582733812949645,-0.07134919314489685,-0.1076728623554124,-0.18682580414708044,-0.003730258426587421,0.05101682714909555,0.0031090998008906274,0.03627713759716802,0.002227743835810019,-0.047621854341811876,-0.011499314555930076,-0.02343364601204756,-0.030483687374496693,-0.04660943436009818,-0.0024818854736979035,
large,det_lora_grow_freeze,military_helicopter,stage_1,large:det_lora_grow_freeze:military_helicopter:stage_1,44,experiments/suites/thesis_l40_main/extend/model_large/seed_44/det_lora_grow_freeze/military_helicopter/stage_1,0.06448937211720147,0.005306573902466767,0.03627041323790595,0.0029629145268987005,0.947166846649886,0.09343059100036742,0.6532233358276033,0.4407247199402324,0.4897001758553922,0.017187328450453117,0.024821088866745177,0.0007247033245765015,0.012568807339449541,0.0003669724770642202,0.9856115107913669,0.02877697841726619,0.7883485351800555,0.44366323008853276,0.46145645014855186,0.012937194991002465,0.0001811758311441279,0.0,9.17431192660554e-05,0.0,0.007194244604316502,0.0,-0.04789040499998476,-0.061864792321977335,-0.10728094463607729,0.010424912512754639,0.02971374538648506,0.002436096875546211,0.018465078462497623,0.001496079298650003,-0.03174372457548347,0.0,0.0064445832173518625,-0.007665202549915151,-0.015420530243195063,-0.004563782367317436,
